ID	Number	Site	Area	Longitude	Latitude	Glottocode	LocalID
45-Roehrda	45	Röhrda	Nordhessisch	10.0587	51.10205	high1287	98997
46-Bempflingen	46	Bempflingen	Schwäbisch	9.26556	48.57309	high1287	131478
47-Pielenhofen	47	Pielenhofen	Nordbairisch	11.95648	49.07279	high1287	71399
48-Oberau	48	Oberau	Mittelbairisch	11.13614	47.56027	high1287	78677
49-Benzingerode_Wernigerode	49	Benzingerode/Wernigerode	Ostfälisch	10.79175	51.83833	high1287	126340
50-Jeetzel	50	Jeetzel	Brandenburgisch	11.13524	52.95197	high1287	111294
51-Iggingen	51	Iggingen	Schwäbisch	9.87851	48.83126	high1287	133354
52-Hermeskeil	52	Hermeskeil	Moselfränkisch	6.94817	49.65368	high1287	97056
53-Rosswein	53	Rosswein	Obersächsisch	13.18202	51.06476	high1287	138212
54-Osterhagen	54	Osterhagen	Ostfälisch	10.48229	51.5915	high1287	105687
55-Hermannsreuth	55	Hermannsreuth	Nordbairisch	12.46995	49.83228	high1287	93399
56-Allna	56	Allna	Zentralhessisch	8.67041	50.77126	high1287	99705
57-GrossJamno_Forst	57	GroßJamno/Forst	Südmärkisch	14.57832	51.72402	high1287	125086
58-NeuSchadow_Luebben	58	NeuSchadow/Lübben	Südmärkisch	13.92416	52.09045	high1287	121128
59-Volkershausen	59	Volkershausen	Ostfränkisch	10.30012	50.16458	high1287	78096
60-Freden	60	Freden	Ostfälisch	8.32006	52.21207	high1287	107178
61-Schachach	61	Schachach	Mittelbairisch	11.40528	48.46679	high1287	71182
62-Igling	62	Igling	Schwäbisch	10.81434	48.07384	high1287	87273
63-Clausthal-Zellerfeld	63	Clausthal-Zellerfeld	Obersächsisch	10.336	51.8069	high1287	116270
64-Zellingen	64	Zellingen	Ostfränkisch	9.81708	49.89864	high1287	87629
65-Grienow	65	Grünow	Mittelpommersch	14.07178	53.12362	high1287	118882
66-Burgrieden	66	Burgrieden	Schwäbisch	9.93333	48.23855	high1287	133243
67-Atzendorf_Strassfurt	67	Atzendorf(Straßfurt)	Ostfälisch	11.59695	51.91989	high1287	127102
68-Wasbuettel	68	Wasbüttel	Ostfälisch	10.59431	52.41361	high1287	108461
69-Eisenbach	69	Eisenbach	Zentralhessisch	8.25781	50.33891	high1287	100553
70-Endenburg_Lehnacker	70	Endenburg/Lehnacker	Hochalemannisch	7.73306	47.71161	high1287	132787
71-Niederschelden	71	Niederschelden	Moselfränkisch	7.97003	50.84453	high1287	103217
72-Peterskirchen	72	Peterskirchen	Mittelbairisch	12.47554	48.09406	high1287	84354
73-Ebertshausen	73	Ebertshausen	Ostfränkisch	10.57154	50.62814	high1287	137105
74-Brockhausen	74	Brockhausen	Westfälisch	8.12967	51.63018	high1287	103582
75-KirchKogel	75	KirchKogel	Mecklenburgisch-Vorpommersch	12.16037	53.65045	high1287	120233
76-Obermaiselstein	76	Obermaiselstein	Mittelalemannisch	10.23982	47.44684	high1287	80157
77-Ungstein	77	Ungstein	Rheinfränkisch	8.18374	49.47631	high1287	99867
78-Jesteburg	78	Jesteburg	Nordniederdeutsch	9.95808	53.30943	high1287	107810
79-Ahrbergen	79	Ahrbergen	Ostfälisch	9.87635	52.22197	high1287	115080
80-Bruch	80	Bruch	Moselfränkisch	6.78431	49.95674	high1287	96991
81-Linz	81	Linz	Obersächsisch	13.73289	51.34256	high1287	139652
82-Astfeld	82	Astfeld	Ostfälisch	10.36866	51.92967	high1287	104872
83-Lippramsdorf	83	Lippramsdorf	Westfälisch	7.09639271799387	51.713792352617	high1287	535541
84-Brelingen	84	Brelingen	Ostfälisch	9.68234	52.5546	high1287	106912
85-Ramsau	85	Ramsau	Mittelbairisch	12.89858	47.60782	high1287	80214
86-Odenspiel	86	Odenspiel	Ripuarisch	7.71735	50.92872	high1287	134531
