NUMBER	GERMAN	CLASS	POS	POSSTTS
1	Abend	L	SUBST	NN
2	Affe	L	SUBST	NN
3	alle	G	PRON	PIS
4	am	G	PRAEP	APPRART
5	am	G	PART	PTKA
6	anderen	G	PRON	PIS
7	Apfelbäume	L	SUBST	NN
9	auch	L	ADV	ADV
10	auf	G	PRAEP	APPR
11	auf	G	PART	PTKVZ
12	Augenblick	L	SUBST	NN
13	austrinken	L	VERB	VVINF
14	bald	L	ADV	ADV
15	bauen	L	VERB	VVINF
16	Bauern	L	SUBST	NN
17	bei	G	PRAEP	APPR
18	beißen	L	VERB	VVFIN
19	Berge	L	SUBST	NN
20	besser	L	ADJ	ADJD
21	bestellt	L	VERB	VVPP
22	Bett	L	SUBST	NN
23	bin	L	VERB	VAFIN
24	bisschen	G	PRON	PIAT
25	bist	L	VERB	VAFIN
26	Blätter	L	SUBST	NN
27	bleib	L	VERB	VVIMP
28	bleiben	L	VERB	VVIMP
29	braune	L	ADJ	ADJA
30	brav	L	ADJ	ADJA
31	Brot	L	SUBST	NN
32	Bruder	L	SUBST	NN
33	Bürste	L	SUBST	NN
34	da	L	ADV	ADV
35	dann	L	ADV	ADV
36	darfst	L	VERB	VMFIN
37	dass	G	KONJ	KOUS
38	deine	G	PRON	PPOSAT
39	deiner	G	PRON	PPOSAT
40	den	G	ART	ARTDEF
41	der	G	ART	ARTDEF
42	dich	G	PRON	PRF
43	die	G	ART	ARTDEF
44	diese	G	PRON	PDAT
45	dir	G	PRON	PRF
46	doch	L	ADV	ADV
47	Dorf	L	SUBST	NN
48	draußen	L	ADV	ADV
49	drei	L	NUM	CARD
50	Dreschen	L	SUBST	NN
51	du	G	PRON	PPER
52	durchgelaufen	L	VERB	VVPP
53	Durst	L	SUBST	NN
54	Ei	L	SUBST	NN
55	Eier	L	SUBST	NN
56	eigenes	L	ADJ	ADJA
57	ein	G	ART	ARTIND
58	ein	L	NUM	CARD
59	eine	G	ART	ARTIND
60	einen	G	ART	ARTIND
61	eingebrochen	L	VERB	VVPP
62	eingeschlafen	L	VERB	VVPP
63	Eis	L	SUBST	NN
64	er	G	PRON	PPER
65	erst	L	ADV	ADV
66	erzählt	L	VERB	VVPP
67	es	G	PRON	PPER
68	essen	L	VERB	VVINF
69	euch	G	PRON	PRF
70	eure	G	PRON	PPOSAT
71	eurem	G	PRON	PPOSAT
72	Farben	L	SUBST	NN
73	Feld	L	SUBST	NN
74	fertig	L	ADJ	ADJD
75	fest	L	ADJ	ADJA
76	Feuer	L	SUBST	NN
77	Flasche	L	SUBST	NN
78	Fleisch	L	SUBST	NN
79	fliegen	L	VERB	VVFIN
80	fort	G	PART	PTKVZ
81	Frau	L	SUBST	NN
82	früh	L	ADV	ADV
83	früher	L	ADV	ADV
84	für	G	PRAEP	APPR
85	Füße	L	SUBST	NN
86	füttern	L	VERB	VVINF
87	Gänse	L	SUBST	NN
88	ganz	L	ADJ	ADJD
89	ganze	L	ADJ	ADJA
90	Garten	L	SUBST	NN
91	geblieben	L	VERB	VVPP
92	gebracht	L	VERB	VVPP
93	gebrannt	L	VERB	VVPP
94	gefahren	L	VERB	VVPP
95	gefallen	L	VERB	VVPP
96	gefunden	L	VERB	VVPP
97	geh	L	VERB	VVIMP
98	gehabt	L	VERB	VAPP
99	gehen	L	VERB	VVINF
100	gehen	L	VERB	VVFIN
101	gehst	L	VERB	VVFIN
102	gekannt	L	VERB	VVPP
103	gekommen	L	VERB	VVPP
104	Geld	L	SUBST	NN
105	gelegen	L	VERB	VVPP
106	gelernt	L	VERB	VVPP
