NUMBER	GERMAN	CLASS	POS	POSSTTS
107	genug	L	ADV	ADV
108	gesagt	L	VERB	VVPP
109	Geschichte	L	SUBST	NN
110	geschlafen	L	VERB	VVPP
111	geschmolzen	L	VERB	VVPP
112	gestern	L	ADV	ADV
113	gestohlen	L	VERB	VVPP
114	gestorben	L	VERB	VVPP
115	getan	L	VERB	VVPP
116	gewesen	L	VERB	VAPP
117	glaube	L	VERB	VVFIN
118	gleich	L	ADV	ADV
119	groß	L	ADJ	ADJD
120	größer	L	ADJ	ADJA
121	gut	L	ADJ	ADJD
122	gute	L	ADJ	ADJA
123	habe	L	VERB	VAFIN
124	haben	L	VERB	VAFIN
125	haben	L	VERB	VAINF
126	habt	L	VERB	VAFIN
127	hast	L	VERB	VAFIN
128	hat	L	VERB	VAFIN
129	hätten	L	VERB	VAFIN
130	hättest	L	VERB	VAFIN
131	Haus	L	SUBST	NN
132	Häuser	L	SUBST	NN
133	heben	L	VERB	VVINF
134	heiß	L	ADJ	ADJD
135	heiße	L	ADJ	ADJA
136	herum	G	PART	PTKVZ
137	Herz	L	SUBST	NN
138	Herzen	L	SUBST	NN
139	heute	L	ADV	ADV
140	hier	L	ADV	ADV
141	hin	G	PART	PTKVZ
142	hinten	L	ADV	ADV
143	hinter	G	PRAEP	APPR
144	hoch	L	ADJ	ADJD
145	höher	L	ADJ	ADJA
146	hört	L	VERB	VVFIN
147	Hund	L	SUBST	NN
148	ich	G	PRON	PPER
149	ihm	G	PRON	PPER
150	ihn	G	PRON	PPER
151	ihnen	G	PRON	PPER
152	ihr	G	PRON	PPER
153	ihrer	G	PRON	PPOSAT
154	im	G	PRAEP	APPRART
155	immer	L	ADV	ADV
156	in	G	PRAEP	APPR
157	isst	L	VERB	VVFIN
158	ist	L	VERB	VAFIN
159	ja	G	PART	ADV
160	kalte	L	ADJ	ADJA
161	kam	L	VERB	VVFIN
162	kamen	L	VERB	VVFIN
163	kannst	L	VERB	VMFIN
164	kein	G	PRON	PIAT
165	Kind	L	SUBST	NN
166	Kleider	L	SUBST	NN
167	kochen	L	VERB	VVINF
168	Kochlöffel	L	SUBST	NN
169	Kohlen	L	SUBST	NN
170	könnt	L	VERB	VMFIN
171	Korb	L	SUBST	NN
173	Korn	L	SUBST	NN
174	Kuchen	L	SUBST	NN
175	Kühe	L	SUBST	NN
176	lagen	L	VERB	VVFIN
177	laut	L	ADJ	ADJD
178	lauter	L	ADJ	ADJA
179	Leute	L	SUBST	NN
180	Leuten	L	SUBST	NN
181	liebes	L	ADJ	ADJA
182	liegen	G	PART	PTKVZ
183	Luft	L	SUBST	NN
184	machen	L	VERB	VVINF
185	mähen	L	VERB	VVINF
186	man	G	PRON	PIS
187	Mann	L	SUBST	NN
188	mein	G	PRON	PPOSAT
189	meinem	G	PRON	PPOSAT
190	meinen	G	PRON	PPOSAT
191	meisten	G	PRON	PIS
192	Milch	L	SUBST	NN
193	mir	G	PRON	PRF
194	mit	G	PRAEP	APPR
195	mit	G	PART	PTKVZ
196	mitgehen	L	VERB	VVINF
197	morgen	L	ADV	ADV
198	müde	L	ADJ	ADJD
199	muss	L	VERB	VMFIN
200	musst	L	VERB	VMFIN
201	müsst	L	VERB	VMFIN
202	Mutter	L	SUBST	NN
203	nach	G	PRAEP	APPR
204	Nacht	L	SUBST	NN
205	nähen	L	VERB	VVINF
206	neue	L	ADJ	ADJA
207	nicht	G	PART	PTKNEG
208	nichts	G	PRON	PIS
209	noch	L	ADV	ADV
210	nur	L	ADV	ADV
211	Ochsen	L	SUBST	NN
212	oder	G	KONJ	KON
213	Ofen	L	SUBST	NN
214	ohne	G	PRAEP	APPR
215	Ohren	L	SUBST	NN
216	Pfeffer	L	SUBST	NN
217	Pfund	L	SUBST	NN
218	recht	L	ADJ	ADJD
219	rein	G	PART	PTKVZ
220	roten	L	ADJ	ADJA
221	Sack	L	SUBST	NN
222	sag	L	VERB	VVIMP
223	sagen	L	VERB	VVINF
224	sagte	L	VERB	VVFIN
225	Salz	L	SUBST	NN
226	Schafe	L	SUBST	NN
227	schlage	L	VERB	VVFIN
228	schlechte	L	ADJ	ADJA
229	Schnee	L	SUBST	NN
230	schneien	L	VERB	VVINF
231	schon	L	ADV	ADV
232	schöne	L	ADJ	ADJA
233	schwarz	L	ADJ	ADJD
234	Schwester	L	SUBST	NN
235	sechs	L	NUM	CARD
236	sehr	L	ADV	ADV
237	Seife	L	SUBST	NN
238	sein	G	PRON	PPOSAT
239	selbst	L	ADV	ADV
240	sich	G	PRON	PRF
241	sie	G	PRON	PPER
242	sind	L	VERB	VAFIN
243	so	L	ADV	ADV
244	soll	L	VERB	VMFIN
245	sollen	L	VERB	VMFIN
246	sonst	L	ADV	ADV
247	stehen	G	PART	PTKVZ
248	stehen	L	VERB	VVFIN
249	stehen	L	VERB	VVINF
250	Stückchen	L	SUBST	DIM
251	tat	L	VERB	VVFIN
252	Tisch	L	SUBST	NN
254	Tochter	L	SUBST	NN
255	tot	G	PART	PTKVZ
256	treiben	L	VERB	VVFIN
257	treiben	L	VERB	VVINF
258	trockenen	L	ADJ	ADJA
259	tu	L	VERB	VVIMP
260	tun	L	VERB	VVFIN
261	tut	L	VERB	VVFIN
262	über	G	PRAEP	APPR
263	um	G	PRAEP	APPR
264	um	G	KONJ	KOUI
265	und	G	KONJ	KON
266	uns	G	PRON	PRF
267	unsere	G	PRON	PPOSAT
268	unserem	G	PRON	PPOSAT
269	unten	L	ADV	ADV
270	verkaufen	L	VERB	VVINF
271	verstehe	L	VERB	VVFIN
272	versteht	L	VERB	VVFIN
273	viel	G	PRON	PIAT
274	viele	G	PRON	PIS
275	vier	L	NUM	CARD
276	Vögel	L	SUBST	NN
277	von	G	PRAEP	APPR
278	vor	G	PRAEP	APPR
279	wachsen	L	VERB	VVINF
280	war	L	VERB	VAFIN
281	wäre	L	VERB	VAFIN
282	waren	L	VERB	VAFIN
283	warme	L	ADJ	ADJA
284	warten	L	VERB	VVINF
285	Wasser	L	SUBST	NN
286	weh	G	PART	PTKVZ
287	Wein	L	SUBST	NN
288	weiße	L	ADJ	ADJA
289	wem	G	PRON	PWS
290	wer	G	PRON	PWS
291	werden	L	VERB	VAINF
292	Wetter	L	SUBST	NN
293	wieder	L	ADV	ADV
294	Wiese	L	SUBST	NN
295	wieviel	G	PRON	PWAT
296	will	L	VERB	VMFIN
297	Winter	L	SUBST	NN
298	wir	G	PRON	PPER
299	wird	L	VERB	VAFIN
300	wo	G	PRON	PWAV
301	Wochen	L	SUBST	NN
302	wollen	L	VERB	VMFIN
303	wollt	L	VERB	VMFIN
304	wollten	L	VERB	VMFIN
305	Wort	L	SUBST	NN
306	Wurst	L	SUBST	NN
307	Zeit	L	SUBST	NN
308	Zeiten	L	SUBST	NN
309	zu	G	PART	PTKZU
310	zu	G	PART	PTKA
311	zwei	L	NUM	CARD

