ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Number,Identifier,Site,Area,LocalID
1-Altentruedingen,,high1287,West Middle German,,,49.06389,10.61456,Indo-European,1,,Altentrüdingen,Ostfränkisch,88232
2-Gottsbueren_Hofgeismar,,high1287,West Middle German,,,51.57855,9.50046,Indo-European,2,,Gottsbüren/Hofgeismar,Ostfälisch,98572
3-Hoenebach,,high1287,West Middle German,,,50.9339,9.94198,Indo-European,3,,Hönebach,Nordhessisch,97293
4-Gornsdorf,,high1287,West Middle German,,,50.69943,12.88345,Indo-European,4,,Gornsdorf,Obersächsisch,140999
5-Hagen,,high1287,West Middle German,,,54.56434,13.61768,Indo-European,5,,Hagen,Mecklenburgisch-Vorpommersch,124534
6-Wolgast,,high1287,West Middle German,,,54.05062,13.76549,Indo-European,6,,Wolgast,Mecklenburgisch-Vorpommersch,119195
7-Theuma,,high1287,West Middle German,,,52.76422,9.355,Indo-European,7,,Theuma,Nordniederdeutsch,110034
8-Aachen,,high1287,West Middle German,,,50.77804,6.08842,Indo-European,8,,Aachen,Ripuarisch,135360
9-Buedesheim,,high1287,West Middle German,,,50.21787,8.83433,Indo-European,9,,Büdesheim,Zentralhessisch,95188
10-Engelsbach,,high1287,West Middle German,,,50.85131,10.60358,Indo-European,10,,Engelsbach,Thüringisch,142692
11-Schoemberg,,high1287,West Middle German,,,48.21131,8.75991,Indo-European,11,,Schömberg,Schwäbisch,129216
12-Horheim,,high1287,West Middle German,,,47.64854,8.34737,Indo-European,12,,Horheim,Hochalemannisch,131034
13-Reelkirchen,,high1287,West Middle German,,,51.9127405779053,9.03518281681611,Indo-European,13,,Reelkirchen,Westfälisch,534378
14-Treffelstein,,high1287,West Middle German,,,49.42291,12.61578,Indo-European,14,,Treffelstein,Nordbairisch,90559
15-Eschelbronn,,high1287,West Middle German,,,49.3202,8.86825,Indo-European,15,,Eschelbronn,Rheinfränkisch,130378
16-Oberhomberg,,high1287,West Middle German,,,47.81259,9.41656,Indo-European,16,,Oberhomberg,Mittelalemannisch,131625
17-Warpe,,high1287,West Middle German,,,52.74531,9.10759,Indo-European,17,,Warpe,Nordniederdeutsch,115632
18-Bardenfleth,,high1287,West Middle German,,,53.23143,8.37107,Indo-European,18,,Bardenfleth,Nordniederdeutsch,107979
19-Eichenhofen,,high1287,West Middle German,,,49.18626,11.64591,Indo-European,19,,Eichenhofen,Nordbairisch,80028
20-Schoenbeck,,high1287,West Middle German,,,53.5793,13.57191,Indo-European,20,,Schönbeck,Mittelpommersch,126983
21-Eversen,,high1287,West Middle German,,,52.75291,10.05358,Indo-European,21,,Eversen,Nordniederdeutsch,112685
22-Leuth,,high1287,West Middle German,,,51.33748,6.22534,Indo-European,22,,Leuth,Niederfränkisch,134449
