ID,Name,Concepticon_ID,Concepticon_Gloss,POS,Class
1_abend,Abend,,,SUBST,L
2_affe,Affe,,,SUBST,L
3_alle,alle,,,PRON,G
5_am,am,,,PART,G
6_anderen,anderen,,,PRON,G
7_apfelbaume,Apfelbäume,,,SUBST,L
9_auch,auch,,,ADV,L
11_auf,auf,,,PART,G
12_augenblick,Augenblick,,,SUBST,L
13_austrinken,austrinken,,,VERB,L
14_bald,bald,,,ADV,L
15_bauen,bauen,,,VERB,L
16_bauern,Bauern,,,SUBST,L
17_bei,bei,,,PRAEP,G
18_beien,beißen,,,VERB,L
19_berge,Berge,,,SUBST,L
20_besser,besser,,,ADJ,L
21_bestellt,bestellt,,,VERB,L
22_bett,Bett,,,SUBST,L
23_bin,bin,,,VERB,L
24_bisschen,bisschen,,,PRON,G
25_bist,bist,,,VERB,L
26_blatter,Blätter,,,SUBST,L
27_bleib,bleib,,,VERB,L
28_bleiben,bleiben,,,VERB,L
29_braune,braune,,,ADJ,L
30_brav,brav,,,ADJ,L
31_brot,Brot,,,SUBST,L
32_bruder,Bruder,,,SUBST,L
33_burste,Bürste,,,SUBST,L
34_da,da,,,ADV,L
35_dann,dann,,,ADV,L
36_darfst,darfst,,,VERB,L
37_dass,dass,,,KONJ,G
38_deine,deine,,,PRON,G
39_deiner,deiner,,,PRON,G
40_den,den,,,ART,G
41_der,der,,,ART,G
42_dich,dich,,,PRON,G
43_die,die,,,ART,G
44_diese,diese,,,PRON,G
45_dir,dir,,,PRON,G
46_doch,doch,,,ADV,L
47_dorf,Dorf,,,SUBST,L
48_drauen,draußen,,,ADV,L
49_drei,drei,,,NUM,L
50_dreschen,Dreschen,,,SUBST,L
51_du,du,,,PRON,G
52_durchgelaufen,durchgelaufen,,,VERB,L
53_durst,Durst,,,SUBST,L
54_ei,Ei,,,SUBST,L
55_eier,Eier,,,SUBST,L
56_eigenes,eigenes,,,ADJ,L
58_ein,ein,,,NUM,L
59_eine,eine,,,ART,G
60_einen,einen,,,ART,G
61_eingebrochen,eingebrochen,,,VERB,L
62_eingeschlafen,eingeschlafen,,,VERB,L
63_eis,Eis,,,SUBST,L
64_er,er,,,PRON,G
65_erst,erst,,,ADV,L
66_erzahlt,erzählt,,,VERB,L
67_es,es,,,PRON,G
68_essen,essen,,,VERB,L
69_euch,euch,,,PRON,G
70_eure,eure,,,PRON,G
71_eurem,eurem,,,PRON,G
72_farben,Farben,,,SUBST,L
73_feld,Feld,,,SUBST,L
74_fertig,fertig,,,ADJ,L
75_fest,fest,,,ADJ,L
76_feuer,Feuer,,,SUBST,L
77_flasche,Flasche,,,SUBST,L
78_fleisch,Fleisch,,,SUBST,L
79_fliegen,fliegen,,,VERB,L
80_fort,fort,,,PART,G
81_frau,Frau,,,SUBST,L
82_fruh,früh,,,ADV,L
83_fruher,früher,,,ADV,L
84_fur,für,,,PRAEP,G
85_fue,Füße,,,SUBST,L
86_futtern,füttern,,,VERB,L
87_ganse,Gänse,,,SUBST,L
88_ganz,ganz,,,ADJ,L
89_ganze,ganze,,,ADJ,L
90_garten,Garten,,,SUBST,L
91_geblieben,geblieben,,,VERB,L
92_gebracht,gebracht,,,VERB,L
93_gebrannt,gebrannt,,,VERB,L
94_gefahren,gefahren,,,VERB,L
95_gefallen,gefallen,,,VERB,L
96_gefunden,gefunden,,,VERB,L
97_geh,geh,,,VERB,L
98_gehabt,gehabt,,,VERB,L
100_gehen,gehen,,,VERB,L
101_gehst,gehst,,,VERB,L
102_gekannt,gekannt,,,VERB,L
103_gekommen,gekommen,,,VERB,L
104_geld,Geld,,,SUBST,L
105_gelegen,gelegen,,,VERB,L
106_gelernt,gelernt,,,VERB,L
107_genug,genug,,,ADV,L
108_gesagt,gesagt,,,VERB,L
109_geschichte,Geschichte,,,SUBST,L
110_geschlafen,geschlafen,,,VERB,L
111_geschmolzen,geschmolzen,,,VERB,L
112_gestern,gestern,,,ADV,L
113_gestohlen,gestohlen,,,VERB,L
114_gestorben,gestorben,,,VERB,L
115_getan,getan,,,VERB,L
116_gewesen,gewesen,,,VERB,L
117_glaube,glaube,,,VERB,L
118_gleich,gleich,,,ADV,L
119_gro,groß,,,ADJ,L
120_groer,größer,,,ADJ,L
121_gut,gut,,,ADJ,L
122_gute,gute,,,ADJ,L
123_habe,habe,,,VERB,L
125_haben,haben,,,VERB,L
126_habt,habt,,,VERB,L
127_hast,hast,,,VERB,L
128_hat,hat,,,VERB,L
129_hatten,hätten,,,VERB,L
130_hattest,hättest,,,VERB,L
131_haus,Haus,,,SUBST,L
132_hauser,Häuser,,,SUBST,L
133_heben,heben,,,VERB,L
134_hei,heiß,,,ADJ,L
135_heie,heiße,,,ADJ,L
136_herum,herum,,,PART,G
137_herz,Herz,,,SUBST,L
138_herzen,Herzen,,,SUBST,L
139_heute,heute,,,ADV,L
140_hier,hier,,,ADV,L
141_hin,hin,,,PART,G
142_hinten,hinten,,,ADV,L
143_hinter,hinter,,,PRAEP,G
144_hoch,hoch,,,ADJ,L
145_hoher,höher,,,ADJ,L
146_hort,hört,,,VERB,L
147_hund,Hund,,,SUBST,L
148_ich,ich,,,PRON,G
149_ihm,ihm,,,PRON,G
150_ihn,ihn,,,PRON,G
151_ihnen,ihnen,,,PRON,G
152_ihr,ihr,,,PRON,G
153_ihrer,ihrer,,,PRON,G
154_im,im,,,PRAEP,G
155_immer,immer,,,ADV,L
156_in,in,,,PRAEP,G
157_isst,isst,,,VERB,L
158_ist,ist,,,VERB,L
159_ja,ja,,,PART,G
160_kalte,kalte,,,ADJ,L
161_kam,kam,,,VERB,L
162_kamen,kamen,,,VERB,L
163_kannst,kannst,,,VERB,L
164_kein,kein,,,PRON,G
165_kind,Kind,,,SUBST,L
166_kleider,Kleider,,,SUBST,L
167_kochen,kochen,,,VERB,L
168_kochloffel,Kochlöffel,,,SUBST,L
169_kohlen,Kohlen,,,SUBST,L
170_konnt,könnt,,,VERB,L
171_korb,Korb,,,SUBST,L
173_korn,Korn,,,SUBST,L
174_kuchen,Kuchen,,,SUBST,L
175_kuhe,Kühe,,,SUBST,L
176_lagen,lagen,,,VERB,L
177_laut,laut,,,ADJ,L
178_lauter,lauter,,,ADJ,L
179_leute,Leute,,,SUBST,L
180_leuten,Leuten,,,SUBST,L
181_liebes,liebes,,,ADJ,L
182_liegen,liegen,,,PART,G
183_luft,Luft,,,SUBST,L
184_machen,machen,,,VERB,L
185_mahen,mähen,,,VERB,L
186_man,man,,,PRON,G
187_mann,Mann,,,SUBST,L
188_mein,mein,,,PRON,G
189_meinem,meinem,,,PRON,G
190_meinen,meinen,,,PRON,G
191_meisten,meisten,,,PRON,G
192_milch,Milch,,,SUBST,L
193_mir,mir,,,PRON,G
195_mit,mit,,,PART,G
196_mitgehen,mitgehen,,,VERB,L
197_morgen,morgen,,,ADV,L
198_mude,müde,,,ADJ,L
199_muss,muss,,,VERB,L
200_musst,musst,,,VERB,L
201_musst,müsst,,,VERB,L
202_mutter,Mutter,,,SUBST,L
203_nach,nach,,,PRAEP,G
204_nacht,Nacht,,,SUBST,L
205_nahen,nähen,,,VERB,L
206_neue,neue,,,ADJ,L
207_nicht,nicht,,,PART,G
208_nichts,nichts,,,PRON,G
209_noch,noch,,,ADV,L
210_nur,nur,,,ADV,L
211_ochsen,Ochsen,,,SUBST,L
212_oder,oder,,,KONJ,G
213_ofen,Ofen,,,SUBST,L
214_ohne,ohne,,,PRAEP,G
215_ohren,Ohren,,,SUBST,L
216_pfeffer,Pfeffer,,,SUBST,L
217_pfund,Pfund,,,SUBST,L
218_recht,recht,,,ADJ,L
219_rein,rein,,,PART,G
220_roten,roten,,,ADJ,L
221_sack,Sack,,,SUBST,L
222_sag,sag,,,VERB,L
223_sagen,sagen,,,VERB,L
224_sagte,sagte,,,VERB,L
225_salz,Salz,,,SUBST,L
226_schafe,Schafe,,,SUBST,L
227_schlage,schlage,,,VERB,L
228_schlechte,schlechte,,,ADJ,L
229_schnee,Schnee,,,SUBST,L
230_schneien,schneien,,,VERB,L
231_schon,schon,,,ADV,L
232_schone,schöne,,,ADJ,L
233_schwarz,schwarz,,,ADJ,L
234_schwester,Schwester,,,SUBST,L
235_sechs,sechs,,,NUM,L
236_sehr,sehr,,,ADV,L
237_seife,Seife,,,SUBST,L
238_sein,sein,,,PRON,G
239_selbst,selbst,,,ADV,L
240_sich,sich,,,PRON,G
241_sie,sie,,,PRON,G
242_sind,sind,,,VERB,L
243_so,so,,,ADV,L
244_soll,soll,,,VERB,L
245_sollen,sollen,,,VERB,L
246_sonst,sonst,,,ADV,L
249_stehen,stehen,,,VERB,L
250_stuckchen,Stückchen,,,SUBST,L
251_tat,tat,,,VERB,L
252_tisch,Tisch,,,SUBST,L
254_tochter,Tochter,,,SUBST,L
255_tot,tot,,,PART,G
257_treiben,treiben,,,VERB,L
258_trockenen,trockenen,,,ADJ,L
259_tu,tu,,,VERB,L
260_tun,tun,,,VERB,L
261_tut,tut,,,VERB,L
262_uber,über,,,PRAEP,G
264_um,um,,,KONJ,G
265_und,und,,,KONJ,G
266_uns,uns,,,PRON,G
267_unsere,unsere,,,PRON,G
268_unserem,unserem,,,PRON,G
269_unten,unten,,,ADV,L
270_verkaufen,verkaufen,,,VERB,L
271_verstehe,verstehe,,,VERB,L
272_versteht,versteht,,,VERB,L
273_viel,viel,,,PRON,G
274_viele,viele,,,PRON,G
275_vier,vier,,,NUM,L
276_vogel,Vögel,,,SUBST,L
277_von,von,,,PRAEP,G
278_vor,vor,,,PRAEP,G
279_wachsen,wachsen,,,VERB,L
280_war,war,,,VERB,L
281_ware,wäre,,,VERB,L
282_waren,waren,,,VERB,L
283_warme,warme,,,ADJ,L
284_warten,warten,,,VERB,L
285_wasser,Wasser,,,SUBST,L
286_weh,weh,,,PART,G
287_wein,Wein,,,SUBST,L
288_weie,weiße,,,ADJ,L
289_wem,wem,,,PRON,G
290_wer,wer,,,PRON,G
291_werden,werden,,,VERB,L
292_wetter,Wetter,,,SUBST,L
293_wieder,wieder,,,ADV,L
294_wiese,Wiese,,,SUBST,L
295_wieviel,wieviel,,,PRON,G
296_will,will,,,VERB,L
297_winter,Winter,,,SUBST,L
298_wir,wir,,,PRON,G
299_wird,wird,,,VERB,L
300_wo,wo,,,PRON,G
301_wochen,Wochen,,,SUBST,L
302_wollen,wollen,,,VERB,L
303_wollt,wollt,,,VERB,L
304_wollten,wollten,,,VERB,L
305_wort,Wort,,,SUBST,L
306_wurst,Wurst,,,SUBST,L
307_zeit,Zeit,,,SUBST,L
308_zeiten,Zeiten,,,SUBST,L
310_zu,zu,,,PART,G
311_zwei,zwei,,,NUM,L
