Concept	LID	WNUM	LName	Sampa	Tokens	CV	Classes	Sonority	Type	Filename
Abend	535541	1	Lippramsdorf	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEC83AW1_g
Abend	78096	2	Volkershausen	"6:.b@ts	ˈɐː . b ə ts 	2	VC.CVC	V:.PVA	1.5154	s.w	WED38AW1_g
Abend	131625	3	Oberhomberg	"A:.bIt	ˈɑː . b ɪ t 	2	VC.CVC	V:.PVP	1.515	s.w	WED40AW1_g
Abend	89340	4	Schnepfenbach	"6:.b6t	ˈɐː . b ɐ t 	2	VC.CVC	V:.PVP	1.515	s.w	WED37AW1_g
Abend	102355	5	Wüllen	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEC82AW1_g
Abend	127102	6	Atzendorf(Straßfurt)	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEG88AW1_g
Abend	105310	7	Herssum	"a:.v@nt	ˈaː . v ə n t 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEG03AW1_g
Abend	71182	8	Schachach	"O:mt	ˈɔː m t 	1	VCCC	V:NP	135	s	WED27AW1_g
Abend	72938	9	Hartenstein	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WED52AW1_g
Abend	138212	10	Rosswein	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEH18AW1_g
Abend	142179	11	Bockelwitz	"a:.b@nt	ˈaː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEH36AW1_g
Abend	107178	12	Freden	"Am	ˈɑ m 	1	VC	VN	13	s	WEF83AW1_g
Abend	132665	13	Pfaffenrot	"o:.v@t	ˈoː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEC95AW1_g
Abend	117629	14	Hammah	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEF71AW1_g
Abend	534207	15	Hohenkörben	"a:m	ˈaː m 	1	VCC	V:N	13	s	WEG05AW1_g
Abend	109126	16	Holmkjer	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEF64AW1_g
Abend	95188	17	Büdesheim	"O.b@nt	ˈɔ . b ə n t 	2	V.CVCC	V.PVNP	1.5135	s.w	WED07AW1_g
Abend	121128	18	NeuSchadow/Lübben	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEG94AW1_g
Abend	100345	19	Tann	"O.b@nt	ˈɔ . b ə n t 	2	V.CVCC	V.PVNP	1.5135	s.w	WED21AW1_g
Abend	80028	20	Eichenhofen	"a:.b@nt	ˈaː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WED50AW1_g
Abend	139652	21	Linz	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEH21AW1_g
Abend	117389	22	Wieda	"o:ms	ˈoː m s 	1	VCCC	V:NF	134	s	WEC56AW1_g
Abend	105112	23	Wangerooge	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEJ75AW1_g
Abend	142407	24	Schmannewitz	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEH39AW1_g
Abend	97496	25	Bremscheid	"O:_/.v@nt_\	ˈɔː̌ . v ə n t̂ 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEG15AW1_g
Abend	131639	26	Billingsbach	"A:.vIt	ˈɑː . v ɪ t 	2	VC.CVC	V:.FVP	1.415	s.w	WED02AW1_g
Abend	137182	27	Altenberg/Erzg	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEH06AW1_g
Abend	142544	28	Borstendorf/Erzg	"A.mnt	ˈɑ . m n t 	2	V.CVC	V.NNP	1.335	s.w	WEG82AW1_g
Abend	104872	29	Astfeld	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEC62AW1_g
Abend	76974	30	Schauenstein	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WED55AW1_g
Abend	132113	31	Seelbach	"o:.v@t	ˈoː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEC97AW1_g
Abend	105687	32	Osterhagen	"O@mt	ˈɔə m t 	1	VCCC	VVNP	135	s	WEC69AW1_g
Abend	522626	33	Valdorf	"a:m	ˈaː m 	1	VCC	V:N	13	s	WEF82AW1_g
Abend	103582	34	Brockhausen	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEC78AW1_g
Abend	119269	35	Herzfeld	"a:.bm	ˈaː . b m 	2	VC.CV	V:.PN	1.53	s.w	WEG69AW1_g
Abend	139458	36	Schellroda	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEH55AW1_g
Abend	97691	37	Mörshausen	"o:.v@t	ˈoː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEG84AW1_g
Abend	81534	38	Weidenbach	"6:.bmt	ˈɐː . b m t 	2	VC.CVC	V:.PNP	1.535	s.w	WED35AW1_g
Abend	120233	39	KirchKogel	"O:.?m	ˈɔː . ʔ m 	2	VC.CV	V:.PN	1.53	s.w	WEG41AW1_g
Abend	114794	40	Jever	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEJ65AW1_g
Abend	87629	41	Zellingen	"o:6.bIts	ˈoːɐ . b ɪ ts 	2	VC.CVC	VV.PVA	1.5154	s.w	WED03AW1_g
Abend	98155	42	Offdilln	"O.b@nt	ˈɔ . b ə n t 	2	V.CVCC	V.PVNP	1.5135	s.w	WED15AW1_g
Abend	123486	43	Landgrafroda/Querfurt	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEG89AW1_g
Abend	101005	44	Frohnhausen/Battenberg	"omt	ˈo m t 	1	VCC	VNP	135	s	WEF47AW1_g
Abend	93295	45	Binswangen	"A:.b@nt	ˈɑː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WED31AW1_g
Abend	140999	46	Gornsdorf	"9mt	ˈœ m t 	1	VCC	VNP	135	s	WEH70AW1_g
Abend	142692	47	Engelsbach	"o:.v@t	ˈoː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEH57AW1_g
Abend	136211	48	Köln	"A:_/.v@nt_\	ˈɑː̌ . v ə n t̂ 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEJ44AW1_g
Abend	94066	49	Oberwürzbach	"O:.v@t	ˈɔː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEC92AW1_g
Abend	141434	50	Mockern/Altenburg	"a:.mnt	ˈaː . m n t 	2	VC.CVC	V:.NNP	1.335	s.w	WEG83AW1_g
Abend	141827	51	Lampertswalde	"a:nt	ˈaː n t 	1	VCCC	V:NP	135	s	WEH38AW1_g
Abend	108461	52	Wasbüttel	"a:m	ˈaː m 	1	VCC	V:N	13	s	WEF77AW1_g
Abend	117816	53	Gerbstedt	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEH64AW1_g
Abend	141322	54	Wehrsdorf	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEJ49AW1_g
Abend	107244	55	Schwabstedt	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEF62AW1_g
Abend	130378	56	Eschelbronn	"O:.b@t	ˈɔː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WEC94AW1_g
Abend	100418	57	Wittelsberg	"o:.b@t	ˈoː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WEF57AW1_g
Abend	104396	58	EngterHuxelort	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEC81AW1_g
Abend	108547	59	WentorfAS	"6:mt	ˈɐː m t 	1	VCCC	V:NP	135	s	WEF73AW1_g
Abend	94235	60	Lohra	"o:.b@t	ˈoː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WEJ03AW1_g
Abend	118165	61	Falkenthal	"Amt	ˈɑ m t 	1	VCC	VNP	135	s	WEG73AW1_g
Abend	122070	62	Verchen	"A:.mn	ˈɑː . m n 	2	VC.CV	V:.NN	1.33	s.w	WEG62AW1_g
Abend	534317	63	Niederauerbach	"o:.v@t	ˈoː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEJ28AW1_g
Abend	103217	64	Niederschelden	"a:_/.b@nt_\	ˈaː̌ . b ə n t̂ 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEH34AW1_g
Abend	77989	65	Wildpoldsried	"A:.v@t	ˈɑː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEG35AW1_g
Abend	121678	66	Ruhlsdorf/Luckenwalde	"O:mt	ˈɔː m t 	1	VCCC	V:NP	135	s	WEG91AW1_g
