Concept	LID	WNUM	LName	Sampa	Tokens	CV	Classes	Sonority	Type	Filename
Abend	98830	67	Niederasphe	"o:.b@t	ˈoː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WEF50AW1_g
Abend	87273	68	Igling	"A:.b@t	ˈɑː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WED29AW1_g
Abend	131478	69	Bempflingen	"O:.v@t	ˈɔː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WED00AW1_g
Abend	100345	70	Tann	"O:mt	ˈɔː m t 	1	VCCC	V:NP	135	s	WED24AW1_g
Abend	96254	71	Lohrhaupten	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEE92AW1_g
Abend	106665	72	Wasbek	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEJ62AW1_g
Abend	110375	73	Barßel	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEJ67AW1_g
Abend	129216	74	Schömberg	"O:.v@t	ˈɔː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEC99AW1_g
Abend	98052	75	Herbornseelbach	"o:.b@nt	ˈoː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEE81AW1_g
Abend	136417	76	Iversheim	"a:_/.b@nt_\	ˈaː̌ . b ə n t̂ 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEC88AW1_g
Abend	98052	77	Herbornseelbach	"o:.b@nt	ˈoː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEE83AW1_g
Abend	96433	78	Siebenbach	"O:_/.v@nt_\	ˈɔː̌ . v ə n t̂ 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEC89AW1_g
Abend	98885	79	Kruft	"O:_/.v@nt_\	ˈɔː̌ . v ə n t̂ 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEG18AW1_g
Abend	118882	80	Grünow	"o:m	ˈoː m 	1	VCC	V:N	13	s	WEG76AW1_g
Abend	115354	81	Kuhstedt	"o:.bm	ˈoː . b m 	2	VC.CV	V:.PN	1.53	s.w	WEF68AW1_g
Abend	116468	82	Huddestorf	"6:mt	ˈɐː m t 	1	VCCC	V:NP	135	s	WEG00AW1_g
Abend	112022	83	Ebstorf	"A:.bm	ˈɑː . b m 	2	VC.CV	V:.PN	1.53	s.w	WEF75AW1_g
Abend	93399	84	Hermannsreuth	"A:ms	ˈɑː m s 	1	VCCC	V:NF	134	s	WEG27AW1_g
Abend	136865	85	Helmers	"O6.b6t	ˈɔɐ . b ɐ t 	2	VC.CVC	VV.PVP	1.515	s.w	WEG50AW1_g
Abend	100553	86	Eisenbach	"O.b@nt	ˈɔ . b ə n t 	2	V.CVCC	V.PVNP	1.5135	s.w	WEE59AW1_g
Abend	112685	87	Eversen	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEF78AW1_g
Abend	97362	88	Ensheim	"o:.?m	ˈoː . ʔ m 	2	VC.CV	V:.PN	1.53	s.w	WED05AW1_g
Abend	119655	89	Altwarp	"o:m	ˈoː m 	1	VCC	V:N	13	s	WEG65AW1_g
Abend	99852	90	Hartenfels	"O:_/.v@nt_\	ˈɔː̌ . v ə n t̂ 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEG13AW1_g
Abend	100120	91	Orferode	"o:.vIt	ˈoː . v ɪ t 	2	VC.CVC	V:.FVP	1.415	s.w	WEE29AW1_g
Abend	120286	92	KleinRossau	"O:.v@n	ˈɔː . v ə n 	2	VC.CVC	V:.FVN	1.413	s.w	WEG70AW1_g
Abend	89144	93	Maxweiler(Übergangsgebiet)	"o:.b6t	ˈoː . b ɐ t 	2	VC.CVC	V:.PVP	1.515	s.w	WED33AW1_g
Abend	126340	94	Benzingerode/Wernigerode	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEG87AW1_g
Abend	109582	95	Diekhusen-Fahrstedt	"o:m	ˈoː m 	1	VCC	V:N	13	s	WEF58AW1_g
Abend	534378	96	Reelkirchen	"A:m.t@	ˈɑː m . t ə 	2	VCC.CV	V:N.PV	13.51	s.w	WEC80AW1_g
Abend	131034	97	Horheim	"o:.b@t	ˈoː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WED39AW1_g
Abend	110034	98	Theuma	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEJ69AW1_g
Abend	137478	99	Rammenau	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEH23AW1_g
Abend	110821	100	Hohwacht	"o:.bm	ˈoː . b m 	2	VC.CV	V:.PN	1.53	s.w	WE847AW1_g
Abend	125086	101	GroßJamno/Forst	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEG97AW1_g
Abend	103353	102	Wemb	"A:.m@nt	ˈɑː . m ə n t 	2	VC.CVCC	V:.NVNP	1.3135	s.w	WEC85AW1_g
Abend	102330	103	Albersloh	"A:m	ˈɑː m 	1	VCC	V:N	13	s	WEG08AW1_g
Abend	101858	104	Hesselteich	"a:m	ˈaː m 	1	VCC	V:N	13	s	WEG07AW1_g
Abend	119195	105	Wolgast	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WE953AW1_g
Abend	88232	106	Altentrüdingen	"o:.b6ts	ˈoː . b ɐ ts 	2	VC.CVC	V:.PVA	1.5154	s.w	WED34AW1_g
Abend	127805	107	Kleinbottwar	"A:.v@t	ˈɑː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WEG39AW1_g
Abend	97293	108	Hönebach	"o:.b@t	ˈoː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WEG12AW1_g
Abend	133354	109	Iggingen	"A:.v@t	ˈɑː . v ə t 	2	VC.CVC	V:.FVP	1.415	s.w	WED01AW1_g
Abend	112823	110	Oiste	"6Um	ˈɐʊ m 	1	VCC	VVN	13	s	WEG01AW1_g
Abend	134531	111	Odenspiel	"A:_/.b@nt_\	ˈɑː̌ . b ə n t̂ 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEG10AW1_g
Abend	98997	112	Röhrda	"o:.bmt	ˈoː . b m t 	2	VC.CVC	V:.PNP	1.535	s.w	WEF98AW1_g
Abend	101114	113	Vielbrunn	"O:.v@nt	ˈɔː . v ə n t 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WED04AW1_g
Abend	111294	114	Jeetzel	"A:m	ˈɑː m 	1	VCC	V:N	13	s	WEF74AW1_g
Abend	124534	115	Hagen	"a:m	ˈaː m 	1	VCC	V:N	13	s	WEG52AW1_g
Abend	142132	116	Großwechsungen/Nordhausen	"o:.v@nt	ˈoː . v ə n t 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEG86AW1_g
Abend	133243	117	Burgrieden	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WED41AW1_g
Abend	121905	118	GroßMohrdorf	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEG54AW1_g
Abend	120820	119	Breddin	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEG72AW1_g
Abend	98572	120	Gottsbüren/Hofgeismar	"a:.b@n	ˈaː . b ə n 	2	VC.CVC	V:.PVN	1.513	s.w	WEF95AW1_g
Abend	73053	121	Langenbruck	"A:.bmt	ˈɑː . b m t 	2	VC.CVC	V:.PNP	1.535	s.w	WED26AW1_g
Abend	115080	122	Ahrbergen	"O6m	ˈɔɐ m 	1	VCC	VVN	13	s	WEF99AW1_g
Abend	124917	123	Jürgenshagen	"A:m	ˈɑː m 	1	VCC	V:N	13	s	WEG56AW1_g
Abend	118146	124	Mirow	"a:m	ˈaː m 	1	VCC	V:N	13	s	WEG60AW1_g
Abend	125647	125	Osterfeld	"a.b@ns	ˈa . b ə n s 	2	V.CVCC	V.PVNF	1.5134	s.w	WEH03AW1_g
Abend	74385	126	Pöttmes	"O:.b@nt	ˈɔː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WED32AW1_g
Abend	107979	127	Bardenfleth	"o:m	ˈoː m 	1	VCC	V:N	13	s	WEJ61AW1_g
Abend	116270	128	Clausthal-Zellerfeld	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEC48AW1_g
Abend	112854	129	Ohrdorf	"AN	ˈɑ ŋ 	1	VC	VN	13	s	WEF76AW1_g
Abend	114506	130	Dreeke	"A:m	ˈɑː m 	1	VCC	V:N	13	s	WEG02AW1_g
Abend	94232	131	Dexbach	"o:.b@t	ˈoː . b ə t 	2	VC.CVC	V:.PVP	1.515	s.w	WEF49AW1_g
Abend	124734	132	Reetz/Belzig	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEH01AW1_g
Abend	92088	133	Kemmern	"Amt	ˈɑ m t 	1	VCC	VNP	135	s	WED53AW1_g
Abend	142682	134	Großballhausen	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WEG43AW1_g
Abend	80157	135	Obermaiselstein	"A.vIt	ˈɑ . v ɪ t 	2	V.CVC	V.FVP	1.415	s.w	WED42AW1_g
Abend	97056	136	Hermeskeil	"O:_/.v@nt_\	ˈɔː̌ . v ə n t̂ 	2	VC.CVCC	V:.FVNP	1.4135	s.w	WEE66AW1_g
Abend	96934	137	Einöllen	"O.v@nt	ˈɔ . v ə n t 	2	V.CVCC	V.FVNP	1.4135	s.w	WEG36AW1_g
Abend	100376	138	Winterspelt	"A:nt	ˈɑː n t 	1	VCCC	V:NP	135	s	WEG20AW1_g
Abend	103623	139	Herrentrup	"A:m.t@	ˈɑː m . t ə 	2	VCC.CV	V:N.PV	13.51	s.w	WEC79AW1_g
Abend	101119	140	Adorf	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEC77AW1_g
Abend	94091	141	Rosenthal	"o.v@nt	ˈo . v ə n t 	2	V.CVCC	V.FVNP	1.4135	s.w	WEF07AW1_g
Abend	115632	142	Warpe	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEJ68AW1_g
Abend	126983	143	Schönbeck	"o:m	ˈoː m 	1	VCC	V:N	13	s	WEG67AW1_g
Abend	126543	144	Schraden	"a:mt	ˈaː m t 	1	VCCC	V:NP	135	s	WEH20AW1_g
Abend	134449	145	Leuth	"a.v@nt	ˈa . v ə n t 	2	V.CVCC	V.FVNP	1.4135	s.w	WEC86AW1_g
Abend	90559	146	Treffelstein	"a:.b@nt	ˈaː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WED51AW1_g
Abend	137105	147	Ebertshausen	"A.b@t	ˈɑ . b ə t 	2	V.CVC	V.PVP	1.515	s.w	WEH53AW1_g
Abend	122830	148	Hundisburg	"Amt	ˈɑ m t 	1	VCC	VNP	135	s	WEG78AW1_g
Abend	77404	149	Nürnberg	"A:mt	ˈɑː m t 	1	VCCC	V:NP	135	s	WEF14AW1_g
Abend	81382	150	Ottowind	"o:mt	ˈoː m t 	1	VCCC	V:NP	135	s	WED56AW1_g
Abend	135360	151	Aachen	"O_/.v@nt_\	ˈɔ̌ . v ə n t̂ 	2	V.CVCC	V.FVNP	1.4135	s.w	WEJ47AW1_g
Abend	98815	152	Niedernhausen	"a:.b@nt	ˈaː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WEJ36AW1_g
Abend	93455	153	Klafferstraß	"O:.bmt	ˈɔː . b m t 	2	VC.CVC	V:.PNP	1.535	s.w	WED47AW1_g
Abend	99705	154	Allna	"o:.b@nt	ˈoː . b ə n t 	2	VC.CVCC	V:.PVNP	1.5135	s.w	WED08AW1_g
Abend	999	155	Standard	"a:.b@nt	ˈaː.bənt	2	VC.CVCC	V:.PVNP	1.5135	s.w	None
Affe	88232	1	Altentrüdingen	"af	ˈa f 	1	VC	VF	14	s	WED34AW1_g
Affe	98572	2	Gottsbüren/Hofgeismar	"a.b@	ˈa . b ə 	2	V.CV	V.PV	1.51	s.w	WEF95AW1_g
Affe	97293	3	Hönebach	"Af	ˈɑ f 	1	VC	VF	14	s	WEG12AW1_g
Affe	140999	4	Gornsdorf	"Af	ˈɑ f 	1	VC	VF	14	s	WEH70AW1_g
Affe	124534	5	Hagen	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEG52AW1_g
Affe	119195	6	Wolgast	"O:p	ˈɔː p 	1	VCC	V:P	15	s	WE953AW1_g
Affe	110034	7	Theuma	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEJ69AW1_g
Affe	135360	8	Aachen	"a:p	ˈaː p 	1	VCC	V:P	15	s	WEJ47AW1_g
Affe	95188	9	Büdesheim	"af	ˈa f 	1	VC	VF	14	s	WED07AW1_g
Affe	142692	10	Engelsbach	"Af	ˈɑ f 	1	VC	VF	14	s	WEH57AW1_g
Affe	129216	11	Schömberg	"af	ˈa f 	1	VC	VF	14	s	WEC99AW1_g
Affe	131034	12	Horheim	"af	ˈa f 	1	VC	VF	14	s	WED39AW1_g
Affe	534378	13	Reelkirchen	"A:.b@	ˈɑː . b ə 	2	VC.CV	V:.PV	1.51	s.w	WEC80AW1_g
Affe	90559	14	Treffelstein	"Af	ˈɑ f 	1	VC	VF	14	s	WED51AW1_g
Affe	130378	15	Eschelbronn	"af	ˈa f 	1	VC	VF	14	s	WEC94AW1_g
Affe	131625	16	Oberhomberg	"a:.f@	ˈaː . f ə 	2	VC.CV	V:.FV	1.41	s.w	WED40AW1_g
Affe	115632	17	Warpe	"O.b@	ˈɔ . b ə 	2	V.CV	V.PV	1.51	s.w	WEJ68AW1_g
Affe	107979	18	Bardenfleth	"O:p	ˈɔː p 	1	VCC	V:P	15	s	WEJ61AW1_g
Affe	80028	19	Eichenhofen	"Of:	ˈɔ fː 	1	VC:	VF:	14	s	WED50AW1_g
Affe	126983	20	Schönbeck	"a:p	ˈaː p 	1	VCC	V:P	15	s	WEG67AW1_g
Affe	112685	21	Eversen	"A.f@	ˈɑ . f ə 	2	V.CV	V.FV	1.41	s.w	WEF78AW1_g
Affe	134449	22	Leuth	"A:p	ˈɑː p 	1	VCC	V:P	15	s	WEC86AW1_g
Affe	119655	23	Altwarp	"o:p	ˈoː p 	1	VCC	V:P	15	s	WEG65AW1_g
Affe	127805	24	Kleinbottwar	"Af	ˈɑ f 	1	VC	VF	14	s	WEG39AW1_g
Affe	104396	25	EngterHuxelort	"a:.p@	ˈaː . p ə 	2	VC.CV	V:.PV	1.51	s.w	WEC81AW1_g
Affe	102355	26	Wüllen	"a:.p@	ˈaː . p ə 	2	VC.CV	V:.PV	1.51	s.w	WEC82AW1_g
Affe	102330	27	Albersloh	"a:.p@	ˈaː . p ə 	2	VC.CV	V:.PV	1.51	s.w	WEG08AW1_g
Affe	98155	28	Offdilln	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WED15AW1_g
Affe	72938	29	Hartenstein	"Of	ˈɔ f 	1	VC	VF	14	s	WED52AW1_g
Affe	142682	30	Großballhausen	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEG43AW1_g
Affe	93455	31	Klafferstraß	"Of	ˈɔ f 	1	VC	VF	14	s	WED47AW1_g
Affe	110375	32	Barßel	"A:.p@	ˈɑː . p ə 	2	VC.CV	V:.PV	1.51	s.w	WEJ67AW1_g
Affe	142982	33	Cursdorf	"O:.f@	ˈɔː . f ə 	2	VC.CV	V:.FV	1.41	s.w	WEG79AW1_g
Affe	101114	34	Vielbrunn	"af	ˈa f 	1	VC	VF	14	s	WED04AW1_g
Affe	94232	35	Dexbach	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEF49AW1_g
Affe	112854	36	Ohrdorf	"af	ˈa f 	1	VC	VF	14	s	WEF76AW1_g
Affe	98052	37	Herbornseelbach	"af	ˈa f 	1	VC	VF	14	s	WEE81AW1_g
Affe	136673	38	Theuma	"af	ˈa f 	1	VC	VF	14	s	WEG80AW1_g
Affe	126108	39	Götz/Brandenburg	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEG99AW1_g
Affe	89340	40	Schnepfenbach	"6f	ˈɐ f 	1	VC	VF	14	s	WED37AW1_g
Affe	101119	41	Adorf	"a:.p@	ˈaː . p ə 	2	VC.CV	V:.PV	1.51	s.w	WEC77AW1_g
Affe	97362	42	Ensheim	"af	ˈa f 	1	VC	VF	14	s	WED05AW1_g
Affe	79153	43	Ulbering	"Af	ˈɑ f 	1	VC	VF	14	s	WED45AW1_g
Affe	93295	44	Binswangen	"af	ˈa f 	1	VC	VF	14	s	WED31AW1_g
Affe	98997	45	Röhrda	"A.f@	ˈɑ . f ə 	2	V.CV	V.FV	1.41	s.w	WEF98AW1_g
Affe	131478	46	Bempflingen	"af	ˈa f 	1	VC	VF	14	s	WED00AW1_g
Affe	71399	47	Pielenhofen	"Af	ˈɑ f 	1	VC	VF	14	s	WED49AW1_g
Affe	78677	48	Oberau	"A:f	ˈɑː f 	1	VCC	V:F	14	s	WED43AW1_g
Affe	126340	49	Benzingerode/Wernigerode	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEG87AW1_g
Affe	111294	50	Jeetzel	"o:p	ˈoː p 	1	VCC	V:P	15	s	WEF74AW1_g
Affe	133354	51	Iggingen	"af	ˈa f 	1	VC	VF	14	s	WED01AW1_g
Affe	97056	52	Hermeskeil	"a:f	ˈaː f 	1	VCC	V:F	14	s	WEE66AW1_g
Affe	138212	53	Rosswein	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEH18AW1_g
Affe	105687	54	Osterhagen	"a.f@	ˈa . f ə 	2	V.CV	V.FV	1.41	s.w	WEC69AW1_g
Affe	93399	55	Hermannsreuth	"Af	ˈɑ f 	1	VC	VF	14	s	WEG27AW1_g
Affe	99705	56	Allna	"af	ˈa f 	1	VC	VF	14	s	WED08AW1_g
Affe	125086	57	GroßJamno/Forst	"A.f@	ˈɑ . f ə 	2	V.CV	V.FV	1.41	s.w	WEG97AW1_g
Affe	121128	58	NeuSchadow/Lübben	"a.fE	ˈa . f ɛ 	2	V.CV	V.FV	1.41	s.w	WEG94AW1_g
Affe	78096	59	Volkershausen	"6f	ˈɐ f 	1	VC	VF	14	s	WED38AW1_g
Affe	107178	60	Freden	"A:p	ˈɑː p 	1	VCC	V:P	15	s	WEF83AW1_g
Affe	71182	61	Schachach	"Af	ˈɑ f 	1	VC	VF	14	s	WED27AW1_g
Affe	87273	62	Igling	"af	ˈa f 	1	VC	VF	14	s	WED29AW1_g
Affe	116270	63	Clausthal-Zellerfeld	"Af	ˈɑ f 	1	VC	VF	14	s	WEC48AW1_g
Affe	87629	64	Zellingen	"Of	ˈɔ f 	1	VC	VF	14	s	WED03AW1_g
Affe	118882	65	Grünow	"A:p	ˈɑː p 	1	VCC	V:P	15	s	WEG76AW1_g
Affe	133243	66	Burgrieden	"af	ˈa f 	1	VC	VF	14	s	WED41AW1_g
Affe	127102	67	Atzendorf(Straßfurt)	"a.fE	ˈa . f ɛ 	2	V.CV	V.FV	1.41	s.w	WEG88AW1_g
